n,kappa,law,gamma,strength,replication,method,estimate
1000,1,gaussian,1.5,2.1213203435596393,86,BGS25,2.1242136525446957
1000,1,gaussian,1.5,2.1213203435596393,86,BGN11,2.1332945907966967
1000,1,gaussian,1.5,2.1213203435596393,87,Algorithm 1,2.064089651061842
1000,1,gaussian,1.5,2.1213203435596393,87,BGS25,2.1007818718514586
1000,1,gaussian,1.5,2.1213203435596393,87,BGN11,2.10598658301685
1000,1,gaussian,1.5,2.1213203435596393,88,Algorithm 1,2.030916852093062
1000,1,gaussian,1.5,2.1213203435596393,88,BGS25,2.0587389503521094
1000,1,gaussian,1.5,2.1213203435596393,88,BGN11,2.0609187176142862
1000,1,gaussian,1.5,2.1213203435596393,89,Algorithm 1,2.107001643206341
1000,1,gaussian,1.5,2.1213203435596393,89,BGS25,2.1414783970608546
1000,1,gaussian,1.5,2.1213203435596393,89,BGN11,2.1409306969447273
1000,1,gaussian,1.5,2.1213203435596393,90,Algorithm 1,2.207820169693265
1000,1,gaussian,1.5,2.1213203435596393,90,BGS25,2.2038722120572154
1000,1,gaussian,1.5,2.1213203435596393,90,BGN11,2.205671585764964
1000,1,gaussian,1.5,2.1213203435596393,91,Algorithm 1,2.104427479600701
1000,1,gaussian,1.5,2.1213203435596393,91,BGS25,2.0936790665373755
1000,1,gaussian,1.5,2.1213203435596393,91,BGN11,2.0929753606267285
1000,1,gaussian,1.5,2.1213203435596393,92,Algorithm 1,2.008575207707668
1000,1,gaussian,1.5,2.1213203435596393,92,BGS25,2.052149603323321
1000,1,gaussian,1.5,2.1213203435596393,92,BGN11,2.048388872519893
1000,1,gaussian,1.5,2.1213203435596393,93,Algorithm 1,2.040510383253546
1000,1,gaussian,1.5,2.1213203435596393,93,BGS25,2.083289838859695
1000,1,gaussian,1.5,2.1213203435596393,93,BGN11,2.0882757324075985
1000,1,gaussian,1.5,2.1213203435596393,94,Algorithm 1,2.133981933743125
1000,1,gaussian,1.5,2.1213203435596393,94,BGS25,2.1396462824224325
1000,1,gaussian,1.5,2.1213203435596393,94,BGN11,2.1397663870636774
1000,1,gaussian,1.5,2.1213203435596393,95,Algorithm 1,2.0981438089331697
1000,1,gaussian,1.5,2.1213203435596393,95,BGS25,2.084458418323698
1000,1,gaussian,1.5,2.1213203435596393,95,BGN11,2.0885884233991474
1000,1,gaussian,1.5,2.1213203435596393,96,Algorithm 1,2.2038134866183445
1000,1,gaussian,1.5,2.1213203435596393,96,BGS25,2.1661105000405594
1000,1,gaussian,1.5,2.1213203435596393,96,BGN11,2.169671292933194
1000,1,gaussian,1.5,2.1213203435596393,97,Algorithm 1,2.1319281936788856
1000,1,gaussian,1.5,2.1213203435596393,97,BGS25,2.1360986311114365
1000,1,gaussian,1.5,2.1213203435596393,97,BGN11,2.134873848421478
1000,1,gaussian,1.5,2.1213203435596393,98,Algorithm 1,2.157994771215659
1000,1,gaussian,1.5,2.1213203435596393,98,BGS25,2.1602689873226892
1000,1,gaussian,1.5,2.1213203435596393,98,BGN11,2.165885750582161
1000,1,gaussian,1.5,2.1213203435596393,99,Algorithm 1,2.1457018470756015
1000,1,gaussian,1.5,2.1213203435596393,99,BGS25,2.1245424217467233
1000,1,gaussian,1.5,2.1213203435596393,99,BGN11,2.1256237857786404
1000,1,gaussian,1.5,2.1213203435596393,100,Algorithm 1,2.0600777759469464
1000,1,gaussian,1.5,2.1213203435596393,100,BGS25,2.0785025491264393
1000,1,gaussian,1.5,2.1213203435596393,100,BGN11,2.0842326033978678
1000,1,gaussian,1.5,2.1213203435596393,101,Algorithm 1,2.0720573155226014
1000,1,gaussian,1.5,2.1213203435596393,101,BGS25,2.0790994397158915
1000,1,gaussian,1.5,2.1213203435596393,101,BGN11,2.0839518902772753
1000,1,gaussian,1.5,2.1213203435596393,102,Algorithm 1,2.0963360463731666
1000,1,gaussian,1.5,2.1213203435596393,102,BGS25,2.0586131139970023
1000,1,gaussian,1.5,2.1213203435596393,102,BGN11,2.059164906913836
1000,1,gaussian,1.5,2.1213203435596393,103,Algorithm 1,2.0293036843379086
1000,1,gaussian,1.5,2.1213203435596393,103,BGS25,2.104762676075691
1000,1,gaussian,1.5,2.1213203435596393,103,BGN11,2.1100903692321276
1000,1,gaussian,1.5,2.1213203435596393,104,Algorithm 1,2.013212255089743
1000,1,gaussian,1.5,2.1213203435596393,104,BGS25,2.0804501650745273
