n,p,kappa,law,gamma,strength,replication,method,estimate
1000,600,1,gaussian,1.5,1.8669989318654328,11,SN13,1.8339052374559965
1000,600,1,gaussian,1.5,1.8669989318654328,11,OptShrink,1.837721591957575
1000,600,1,gaussian,1.5,1.8669989318654328,12,Algorithm 3,1.8803517397679868
1000,600,1,gaussian,1.5,1.8669989318654328,12,SN13,1.8584050117880857
1000,600,1,gaussian,1.5,1.8669989318654328,12,OptShrink,1.8616740531069171
1000,600,1,gaussian,1.5,1.8669989318654328,13,Algorithm 3,1.8844954859659433
1000,600,1,gaussian,1.5,1.8669989318654328,13,SN13,1.8926610133048196
1000,600,1,gaussian,1.5,1.8669989318654328,13,OptShrink,1.8961353416620215
1000,600,1,gaussian,1.5,1.8669989318654328,14,Algorithm 3,1.8628907454047832
1000,600,1,gaussian,1.5,1.8669989318654328,14,SN13,1.8777960576869268
1000,600,1,gaussian,1.5,1.8669989318654328,14,OptShrink,1.8818003097996274
1000,600,1,gaussian,1.5,1.8669989318654328,15,Algorithm 3,1.9279258014749434
1000,600,1,gaussian,1.5,1.8669989318654328,15,SN13,1.9320129480057133
1000,600,1,gaussian,1.5,1.8669989318654328,15,OptShrink,1.9361208400592822
1000,600,1,gaussian,1.5,1.8669989318654328,16,Algorithm 3,1.854132964132143
1000,600,1,gaussian,1.5,1.8669989318654328,16,SN13,1.8398701423528836
1000,600,1,gaussian,1.5,1.8669989318654328,16,OptShrink,1.8436448970694777
1000,600,1,gaussian,1.5,1.8669989318654328,17,Algorithm 3,1.9027484418983311
1000,600,1,gaussian,1.5,1.8669989318654328,17,SN13,1.8931701216894012
1000,600,1,gaussian,1.5,1.8669989318654328,17,OptShrink,1.8967512113516973
1000,600,1,gaussian,1.5,1.8669989318654328,18,Algorithm 3,1.9022151888474672
1000,600,1,gaussian,1.5,1.8669989318654328,18,SN13,1.9218856569645073
1000,600,1,gaussian,1.5,1.8669989318654328,18,OptShrink,1.9259010391492768
1000,600,1,gaussian,1.5,1.8669989318654328,19,Algorithm 3,1.9580856404654432
1000,600,1,gaussian,1.5,1.8669989318654328,19,SN13,1.9562891615336022
1000,600,1,gaussian,1.5,1.8669989318654328,19,OptShrink,1.9600433746431951
1000,600,1,gaussian,1.5,1.8669989318654328,20,Algorithm 3,1.804271215116447
1000,600,1,gaussian,1.5,1.8669989318654328,20,SN13,1.8046542630318472
1000,600,1,gaussian,1.5,1.8669989318654328,20,OptShrink,1.8084403929205435
1000,600,1,gaussian,1.5,1.8669989318654328,21,Algorithm 3,1.8282379099629351
1000,600,1,gaussian,1.5,1.8669989318654328,21,SN13,1.8434508041872852
1000,600,1,gaussian,1.5,1.8669989318654328,21,OptShrink,1.8473806465868
1000,600,1,gaussian,1.5,1.8669989318654328,22,Algorithm 3,1.8578028183532267
1000,600,1,gaussian,1.5,1.8669989318654328,22,SN13,1.8316547730183688
1000,600,1,gaussian,1.5,1.8669989318654328,22,OptShrink,1.835029408241907
1000,600,1,gaussian,1.5,1.8669989318654328,23,Algorithm 3,1.7788548309761991
1000,600,1,gaussian,1.5,1.8669989318654328,23,SN13,1.8111610877552111
1000,600,1,gaussian,1.5,1.8669989318654328,23,OptShrink,1.8156624334631914
1000,600,1,gaussian,1.5,1.8669989318654328,24,Algorithm 3,1.879442636440632
1000,600,1,gaussian,1.5,1.8669989318654328,24,SN13,1.852160865667561
1000,600,1,gaussian,1.5,1.8669989318654328,24,OptShrink,1.8562394110594829
1000,600,1,gaussian,1.5,1.8669989318654328,25,Algorithm 3,1.8491654468086374
1000,600,1,gaussian,1.5,1.8669989318654328,25,SN13,1.8876173484634222
1000,600,1,gaussian,1.5,1.8669989318654328,25,OptShrink,1.8916616642703064
1000,600,1,gaussian,1.5,1.8669989318654328,26,Algorithm 3,1.9080351220681773
1000,600,1,gaussian,1.5,1.8669989318654328,26,SN13,1.897213627005044
1000,600,1,gaussian,1.5,1.8669989318654328,26,OptShrink,1.9008811621246953
1000,600,1,gaussian,1.5,1.8669989318654328,27,Algorithm 3,1.8793202627995929
1000,600,1,gaussian,1.5,1.8669989318654328,27,SN13,1.863210490721834
1000,600,1,gaussian,1.5,1.8669989318654328,27,OptShrink,1.866626904923491
1000,600,1,gaussian,1.5,1.8669989318654328,28,Algorithm 3,1.9064429607658786
1000,600,1,gaussian,1.5,1.8669989318654328,28,SN13,1.9026760460841898
1000,600,1,gaussian,1.5,1.8669989318654328,28,OptShrink,1.9068519577792122
1000,600,1,gaussian,1.5,1.8669989318654328,29,Algorithm 3,1.868068377377964
1000,600,1,gaussian,1.5,1.8669989318654328,29,SN13,1.8499758812618787
1000,600,1,gaussian,1.5,1.8669989318654328,29,OptShrink,1.8542900800847422
1000,600,1,gaussian,1.5,1.8669989318654328,30,Algorithm 3,1.8554820413664033
1000,600,1,gaussian,1.5,1.8669989318654328,30,SN13,1.849263064076601
1000,600,1,gaussian,1.5,1.8669989318654328,30,OptShrink,1.8529688199708627
1000,600,1,gaussian,1.5,1.8669989318654328,31,Algorithm 3,1.8126629151949623
1000,600,1,gaussian,1.5,1.8669989318654328,31,SN13,1.807770784608727
1000,600,1,gaussian,1.5,1.8669989318654328,31,OptShrink,1.8117696893989599
1000,600,1,gaussian,1.5,1.8669989318654328,32,Algorithm 3,1.8240731202621452
1000,600,1,gaussian,1.5,1.8669989318654328,32,SN13,1.835180937211734
1000,600,1,gaussian,1.5,1.8669989318654328,32,OptShrink,1.8390233581937838
